ticker,open,close,low,high,volume,date,name,sector,industry
AAXN,43.7700004577637,42.7900009155273,42.6500015258789,43.7700004577637,796400,2018-04-13,AXON ENTERPRISE INC.,CAPITAL GOODS,ORDNANCE AND ACCESSORIES
DE,12.3125,12.0833330154419,12.0833330154419,12.3541669845581,2452800,1994-09-01,DEERE & COMPANY,CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS
MPLX,38.1300010681152,36.9900016784668,36.3899993896484,38.1300010681152,147900,2013-05-01,MPLX LP,ENERGY,NATURAL GAS DISTRIBUTION
SCVL,18.8099994659424,19.0900001525879,18.7399997711182,19.1499996185303,75600,2014-06-06,SHOE CARNIVAL INC.,CONSUMER SERVICES,CLOTHING/SHOE/ACCESSORY STORES
AIA,63.4300003051758,63.5699996948242,63.2099990844727,63.5699996948242,29800,2017-10-19,ISHARES ASIA 50 ETF,,
MLP,14.3125,14.3125,14.3125,14.3125,100,2000-03-29,MAUI LAND & PINEAPPLE COMPANY INC.,FINANCE,REAL ESTATE
PKO,20.1800003051758,20.0,19.8199996948242,20.2999992370605,37200,2008-08-25,PIMCO INCOME OPPORTUNITY FUND,,
AIR,22.75,23.0,22.6666660308838,23.3333339691162,70300,1989-12-21,AAR CORP.,CAPITAL GOODS,AEROSPACE
ULH,15.5900001525879,15.4700002670288,15.3599996566772,15.6400003433228,15200,2012-11-29,UNIVERSAL LOGISTICS HOLDINGS INC.,TRANSPORTATION,TRUCKING FREIGHT/COURIER SERVICES
PLT,12.2299995422363,11.8699998855591,11.710000038147,12.5200004577637,321200,2008-12-11,PLANTRONICS INC.,PUBLIC UTILITIES,TELECOMMUNICATIONS EQUIPMENT
XEL,46.3899993896484,46.5999984741211,45.9700012207031,46.8199996948242,3273300,2018-08-02,XCEL ENERGY INC.,PUBLIC UTILITIES,POWER GENERATION
AIT,4.54321002960205,4.54321002960205,4.54321002960205,4.54321002960205,4900,1992-12-09,APPLIED INDUSTRIAL TECHNOLOGIES INC.,CONSUMER DURABLES,INDUSTRIAL SPECIALTIES
FIVE,49.6699981689453,49.4700012207031,48.7299995422363,49.9599990844727,594800,2017-09-19,FIVE BELOW INC.,CONSUMER SERVICES,DEPARTMENT/SPECIALTY RETAIL STORES
BITA,15.5,15.8800001144409,15.1000003814697,15.8800001144409,346900,2013-09-20,BITAUTO HOLDINGS LIMITED,TECHNOLOGY,EDP SERVICES
BFS,18.125,19.0,18.125,19.0,32000,1994-01-12,SAUL CENTERS INC.,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS
WSFS,1.25,1.35416662693024,1.25,1.375,159300,1994-01-26,WSFS FINANCIAL CORPORATION,FINANCE,MAJOR BANKS
DIN,80.0199966430664,80.6800003051758,79.8099975585938,80.870002746582,43700,2014-03-20,DINE BRANDS GLOBAL INC.,CONSUMER SERVICES,RESTAURANTS
BPOPN,23.2199993133545,22.9200000762939,22.9200000762939,23.25,1600,2012-10-12,POPULAR INC.,FINANCE,MAJOR BANKS
CFR,4.75,4.75,4.6875,4.75,179600,1985-07-10,CULLEN/FROST BANKERS INC.,FINANCE,MAJOR BANKS
CPE,3.73000001907349,3.71000003814697,3.67000007629395,3.74000000953674,297100,2013-07-11,CALLON PETROLEUM COMPANY,ENERGY,OIL & GAS PRODUCTION
MLI,17.2700004577637,17.2450008392334,17.0799999237061,17.4050006866455,420000,2007-09-06,MUELLER INDUSTRIES INC.,CAPITAL GOODS,METAL FABRICATIONS
CENT,7.59999990463257,7.71000003814697,7.59999990463257,7.76999998092651,40600,2014-05-19,CENTRAL GARDEN & PET COMPANY,CONSUMER DURABLES,CONSUMER SPECIALTIES
VPV,12.5,12.5,12.5,12.625,10000,1996-08-09,INVESCO PENNSYLVANIA VALUE MUNICIPAL INCOME TRUST,,
STFC,27.3099994659424,27.3500003814697,27.1200008392334,27.4200000762939,28700,2004-11-23,STATE AUTO FINANCIAL CORPORATION,FINANCE,PROPERTY-CASUALTY INSURERS
BIG,11.3599996566772,10.5200004577637,10.5200004577637,11.3599996566772,1647700,2003-02-24,BIG LOTS INC.,CONSUMER SERVICES,DEPARTMENT/SPECIALTY RETAIL STORES
DCO,2.75,2.75,2.75,2.83333325386047,3100,1991-10-11,DUCOMMUN INCORPORATED,CAPITAL GOODS,MILITARY/GOVERNMENT/TECHNICAL
VOC,3.14000010490417,2.76999998092651,2.51999998092651,3.20000004768372,142400,2016-03-18,VOC ENERGY TRUST,ENERGY,OIL & GAS PRODUCTION
EPAY,11.5900001525879,11.2799997329712,11.2399997711182,11.9899997711182,209300,2008-03-10,BOTTOMLINE TECHNOLOGIES INC.,TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
NJR,3.30555558204651,3.36111116409302,3.30555558204651,3.375,39600,1986-10-23,NEWJERSEY RESOURCES CORPORATION,PUBLIC UTILITIES,OIL/GAS TRANSMISSION
EAB,25.1700000762939,25.4200000762939,25.1700000762939,25.4300003051758,9400,2016-09-15,ENTERGY ARKANSAS INC.,PUBLIC UTILITIES,ELECTRIC UTILITIES: CENTRAL
FMI,35.9500007629395,35.5499992370605,35.1500015258789,36.0029983520508,158700,2017-05-02,FOUNDATION MEDICINE INC.,HEALTH CARE,MEDICAL SPECIALITIES
GIS,57.1800003051758,57.0499992370605,56.8400001525879,57.7999992370605,8850700,2015-07-02,GENERAL MILLS INC.,CONSUMER NON-DURABLES,PACKAGED FOODS
PHI,43.8600006103516,44.5900001525879,43.8600006103516,44.7999992370605,93400,2016-07-27,PLDT INC.,PUBLIC UTILITIES,TELECOMMUNICATIONS EQUIPMENT
MVC,10.9700002670288,10.8000001907349,10.8000001907349,11.039999961853,127500,2014-12-01,MVC CAPITAL INC.,,
H,48.6300010681152,48.2900009155273,47.9199981689453,49.1199989318848,424800,2015-09-25,HYATT HOTELS CORPORATION,CONSUMER SERVICES,HOTELS/RESORTS
BDSI,2.54999995231628,2.50999999046326,2.46000003814697,2.55999994277954,6000,2003-04-09,BIODELIVERY SCIENCES INTERNATIONAL INC.,HEALTH CARE,MAJOR PHARMACEUTICALS
FORTY,25.125,25.6875,24.125,25.6875,208700,1999-02-18,FORMULA SYSTEMS (1985) LTD.,TECHNOLOGY,EDP SERVICES
GENE,7.75,7.80000019073486,7.55000019073486,8.10000038146973,14700,2013-12-10,GENETIC TECHNOLOGIES LTD,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
NAKD,4.51999998092651,5.40000009536743,4.51999998092651,5.40000009536743,1900,2013-12-24,NAKED BRAND GROUP INC.,CONSUMER NON-DURABLES,APPAREL
MCI,15.7299995422363,15.6899995803833,15.6700000762939,15.75,9200,2015-04-16,BARINGS CORPORATE INVESTORS,,
RDI,14.3800001144409,14.3199996948242,14.1999998092651,14.4399995803833,35600,2015-12-03,READING INTERNATIONAL INC,CONSUMER SERVICES,MOVIES/ENTERTAINMENT
VTN,15.75,15.6875,15.625,15.875,14500,2000-08-01,INVESCO TRUST  FOR INVESTMENT GRADE NEW YORK MUNICIPAL,,
LARK,18.6848068237305,18.192419052124,18.192419052124,18.7193603515625,700,2012-11-20,LANDMARK BANCORP INC.,FINANCE,MAJOR BANKS
CEZ,814.0,814.0,808.200012207031,819.700012207031,31900,2006-09-13,VICTORYSHARES EMERGING MARKET VOLATILITY WTD ETF,,
GNTX,0.125,0.125,0.125,0.126953125,224000,1983-05-18,GENTEX CORPORATION,CAPITAL GOODS,AUTO PARTS:O.E.M.
LND,3.77999997138977,3.74000000953674,3.74000000953674,3.88000011444092,26600,2017-03-14,BRASILAGRO CIA BRASILEIRA DE PROPRIEDADES AGRICOLAS,CONSUMER NON-DURABLES,FARMING/SEEDS/MILLING
VRSN,19.5499992370605,20.6200008392334,19.4300003051758,21.2800006866455,10476900,2009-03-03,VERISIGN INC.,TECHNOLOGY,EDP SERVICES
EAT,1.25102877616882,1.25102877616882,1.25102877616882,1.26566076278687,188500,1984-12-26,BRINKER INTERNATIONAL INC.,CONSUMER SERVICES,RESTAURANTS
DLR,58.5400009155273,58.189998626709,57.5999984741211,58.6199989318848,512400,2010-08-20,DIGITAL REALTY TRUST INC.,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS
AXP,43.8600006103516,43.7099990844727,43.5299987792969,44.5800018310547,7628900,2011-03-07,AMERICAN EXPRESS COMPANY,FINANCE,FINANCE: CONSUMER SERVICES
CBL,9.6875,9.75,9.6875,9.75,26600,1995-05-02,CBL & ASSOCIATES PROPERTIES INC.,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS
WWW,0.666666686534882,0.666666686534882,0.666666686534882,0.666666686534882,227000,1990-08-10,WOLVERINE WORLD WIDE INC.,CONSUMER NON-DURABLES,SHOE MANUFACTURING
IIN,3.16666674613953,3.16666674613953,3.16666674613953,3.16666674613953,300,1989-03-10,INTRICON CORPORATION,CAPITAL GOODS,ELECTRICAL PRODUCTS
SP,19.8799991607666,20.6849994659424,19.75,20.6900005340576,22600,2007-10-23,SP PLUS CORPORATION,CONSUMER SERVICES,RENTAL/LEASING COMPANIES
CSL,30.0249996185303,29.9050006866455,29.7999992370605,30.1000003814697,177200,2003-12-17,CARLISLE COMPANIES INCORPORATED,BASIC INDUSTRIES,SPECIALTY CHEMICALS
THC,166.133331298828,166.933334350586,166.026672363281,167.973327636719,548000,2002-01-10,TENET HEALTHCARE CORPORATION,HEALTH CARE,HOSPITAL/NURSING MANAGEMENT
PAGP,65.7866668701172,65.0133361816406,64.9866638183594,66.8000030517578,394800,2015-08-04,PLAINS GROUP HOLDINGS L.P.,ENERGY,NATURAL GAS DISTRIBUTION
CNQ,32.4900016784668,33.0900001525879,32.1399993896484,33.2299995422363,3828200,2010-09-24,CANADIAN NATURAL RESOURCES LIMITED,ENERGY,OIL & GAS PRODUCTION
TOWN,23.4400005340576,23.3999996185303,23.2199993133545,23.4699993133545,90600,2016-08-22,TOWNE BANK,,
TGNA,15.5775995254517,15.7695999145508,15.5263996124268,16.0384006500244,2447900,2016-02-29,TEGNA INC.,CONSUMER SERVICES,BROADCASTING
NFG,12.9375,12.875,12.8125,12.9375,49600,1992-06-04,NATIONAL FUEL GAS COMPANY,PUBLIC UTILITIES,OIL/GAS TRANSMISSION
CCE,21.4500007629395,21.5599994659424,21.3999996185303,21.7999992370605,902000,2002-12-16,COCA-COLA EUROPEAN PARTNERS PLC,CONSUMER NON-DURABLES,BEVERAGES (PRODUCTION/DISTRIBUTION)
LHO,12.0625,12.1875,11.9375,12.25,28700,2000-02-28,LASALLE HOTEL PROPERTIES,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS
EVG,17.6900005340576,17.7299995422363,17.6499996185303,17.7299995422363,32100,2013-02-08,EATON VANCE SHORT DIVERSIFIED INCOME FUND,,
BWA,7.44999980926514,7.21000003814697,7.21000003814697,7.5,2150400,2002-07-08,BORGWARNER INC.,CAPITAL GOODS,AUTO PARTS:O.E.M.
WTI,20.5300006866455,20.4899997711182,19.9200000762939,20.7000007629395,436800,2012-01-17,W&T OFFSHORE INC.,ENERGY,OIL & GAS PRODUCTION
